Specialty,Sub-Specialty,Areas of Expertise,Center Name (Where Physician Sees Patients),Location,Address,City,Zip Code,Physician First Name,Physician Last Name,Is the Physician Accepting New Patients (Y/N)?,Languages Spoken by the Physician
Heart & Vascular,Cardiac Surgery,"Aotric Surgery, Ventricular Assist Devices, Heart Transplant, Heart Failure",UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Takeyoshi,Ota,Y,"English, Japanese"
Heart & Vascular,Non-Interventional Cardiology,"General Cardiology; Preventive Cardiology, Hypertension, Coronary Artery Disease, Echocardiography, Women's Heart Disease",UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Tamar,Polonsky,Y,English
Heart & Vascular,Non-Interventional Cardiology,"General Cardiology; Preventive Cardiology, Hypertension, Coronary Artery Disease, Echocardiography, Women's Heart Disease",UChicago Medicine River East,River East,355 E Grand Ave.,"Chicago, IL",60611,Tamar,Polonsky,Y,English
Heart & Vascular,Non-Interventional Cardiology,"Hypertension, Preventive Cardiology, Coronary Artery Disease, Echocardiography, Women's Heart Disease, General Cardiology",UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Tamar,Polonsky,Y,English
Heart & Vascular,Non-Interventional Cardiology,"Hypertension, Preventive Cardiology, Coronary Artery Disease, Echocardiography, Women's Heart Disease, General Cardiology",UChicago Medicine River East,River East,355 E Grand Ave.,"Chicago, IL",60611,Tamar,Polonsky,Y,English
Gastroenterology,Hepatology (Liver),"Cirrhosis; Hepatitis; NAFLD, NASH; Transplant Hepatology",UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Tarek,Hassanein,N,English
GI Surgery,GI Surgery (General/GI),Complex GI surgery; Foregut; Intestinal failure; Sepsis in surgery,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,John,Alverdy,Y,English
GI Surgery,GI Surgery (Metabolic/Bariatric),Bariatric surgery; Revisional bariatric surgery; Duodenal switch; Complex foregut,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Vivek,Prachand,Y,English
GI Surgery,Surgical Oncology (GI Cancers),Pancreas; Hepatobiliary Diseases; Gastrointestinal cancers; Multidisciplinary cancer care,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Mitchell,Posner,Y,English
GI Surgery,HPB & General Surgery,Hepato-pancreato-biliary surgery; Complex GI surgery,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Jeffrey,Matthews,N,English
